# P(k)  H0=0.71 Om0=0.267804 Ob0=0.0444356 Ol0=0.73 Sigma8=1 n_s=1
# k  P_E+H_wOsc(k)  P_E+H_noOsc(k)  P_this_simul(k) 
       0.751       114.887       112.319       114.887
       0.752       114.538       111.976       114.538
       0.753        114.19       111.634        114.19
       0.754       113.844       111.294       113.844
       0.755       113.499       110.955       113.499
       0.756       113.156       110.618       113.156
       0.757       112.814       110.282       112.814
       0.758       112.474       109.948       112.474
       0.759       112.135       109.615       112.135
        0.76       111.798       109.283       111.798
       0.761       111.461       108.953       111.461
       0.762       111.127       108.624       111.127
       0.763       110.793       108.297       110.793
       0.764       110.462       107.971       110.462
       0.765       110.131       107.646       110.131
       0.766       109.802       107.323       109.802
       0.767       109.474       107.001       109.474
       0.768       109.148        106.68       109.148
       0.769       108.823       106.361       108.823
        0.77         108.5       106.043         108.5
       0.771       108.178       105.726       108.178
       0.772       107.857       105.411       107.857
       0.773       107.537       105.097       107.537
       0.774       107.219       104.784       107.219
       0.775       106.903       104.473       106.903
       0.776       106.587       104.163       106.587
       0.777       106.273       103.854       106.273
       0.778        105.96       103.547        105.96
       0.779       105.649       103.241       105.649
        0.78       105.338       102.936       105.338
       0.781       105.029       102.632       105.029
       0.782       104.722        102.33       104.722
       0.783       104.415       102.028       104.415
       0.784        104.11       101.728        104.11
       0.785       103.806        101.43       103.806
       0.786       103.503       101.132       103.503
       0.787       103.201       100.836       103.201
       0.788       102.901       100.541       102.901
       0.789       102.602       100.247       102.602
        0.79       102.304       99.9545       102.304
       0.791       102.007       99.6631       102.007
       0.792       101.712       99.3729       101.712
       0.793       101.417       99.0838       101.417
       0.794       101.124       98.7959       101.124
       0.795       100.832       98.5092       100.832
       0.796       100.541       98.2236       100.541
       0.797       100.252       97.9393       100.252
       0.798        99.963        97.656        99.963
       0.799       99.6756       97.3739       99.6756
         0.8       99.3894        97.093       99.3894
       0.801       99.1043       96.8131       99.1043
       0.802       98.8204       96.5345       98.8204
       0.803       98.5376       96.2569       98.5376
       0.804       98.2559       95.9804       98.2559
       0.805       97.9754       95.7051       97.9754
       0.806        97.696       95.4309        97.696
       0.807       97.4178       95.1577       97.4178
       0.808       97.1406       94.8857       97.1406
       0.809       96.8646       94.6147       96.8646
        0.81       96.5897       94.3449       96.5897
       0.811       96.3159       94.0761       96.3159
       0.812       96.0432       93.8083       96.0432
       0.813       95.7716       93.5417       95.7716
       0.814       95.5011       93.2761       95.5011
       0.815       95.2316       93.0115       95.2316
       0.816       94.9633        92.748       94.9633
       0.817       94.6959       92.4856       94.6959
       0.818       94.4297       92.2242       94.4297
       0.819       94.1645       91.9638       94.1645
        0.82       93.9004       91.7044       93.9004
       0.821       93.6373       91.4461       93.6373
       0.822       93.3752       91.1888       93.3752
       0.823       93.1141       90.9325       93.1141
       0.824       92.8541       90.6772       92.8541
       0.825        92.595       90.4229        92.595
       0.826        92.337       90.1697        92.337
       0.827       92.0799       89.9174       92.0799
       0.828       91.8239        89.666       91.8239
       0.829       91.5688       89.4157       91.5688
        0.83       91.3147       89.1664       91.3147
       0.831       91.0616        88.918       91.0616
       0.832       90.8094       88.6706       90.8094
       0.833       90.5582       88.4241       90.5582
       0.834        90.308       88.1786        90.308
       0.835       90.0587       87.9341       90.0587
       0.836       89.8104       87.6905       89.8104
       0.837        89.563       87.4479        89.563
       0.838       89.3166       87.2062       89.3166
       0.839       89.0711       86.9654       89.0711
        0.84       88.8265       86.7256       88.8265
       0.841       88.5829       86.4867       88.5829
       0.842       88.3402       86.2487       88.3402
       0.843       88.0984       86.0116       88.0984
       0.844       87.8576       85.7754       87.8576
       0.845       87.6177       85.5401       87.6177
       0.846       87.3787       85.3058       87.3787
       0.847       87.1407       85.0723       87.1407
       0.848       86.9035       84.8398       86.9035
       0.849       86.6673       84.6081       86.6673
        0.85        86.432       84.3773        86.432
       0.851       86.1976       84.1474       86.1976
       0.852        85.964       83.9183        85.964
       0.853       85.7314       83.6902       85.7314
       0.854       85.4997       83.4629       85.4997
       0.855       85.2688       83.2364       85.2688
       0.856       85.0389       83.0109       85.0389
       0.857       84.8098       82.7861       84.8098
       0.858       84.5816       82.5623       84.5816
       0.859       84.3542       82.3392       84.3542
        0.86       84.1277       82.1171       84.1277
       0.861       83.9021       81.8957       83.9021
       0.862       83.6773       81.6752       83.6773
       0.863       83.4533       81.4555       83.4533
       0.864       83.2302       81.2367       83.2302
       0.865       83.0079       81.0186       83.0079
       0.866       82.7864       80.8014       82.7864
       0.867       82.5657        80.585       82.5657
       0.868       82.3459       80.3694       82.3459
       0.869       82.1269       80.1546       82.1269
        0.87       81.9086       79.9407       81.9086
       0.871       81.6912       79.7275       81.6912
       0.872       81.4746       79.5151       81.4746
       0.873       81.2587       79.3035       81.2587
       0.874       81.0437       79.0927       81.0437
       0.875       80.8294       78.8827       80.8294
       0.876       80.6159       78.6734       80.6159
       0.877       80.4032       78.4649       80.4032
       0.878       80.1913       78.2572       80.1913
       0.879       79.9801       78.0503       79.9801
        0.88       79.7697       77.8441       79.7697
       0.881       79.5601       77.6387       79.5601
       0.882       79.3513       77.4341       79.3513
       0.883       79.1432       77.2302       79.1432
       0.884       78.9359        77.027       78.9359
       0.885       78.7293       76.8246       78.7293
       0.886       78.5235        76.623       78.5235
       0.887       78.3185       76.4221       78.3185
       0.888       78.1142       76.2219       78.1142
       0.889       77.9107       76.0225       77.9107
        0.89       77.7079       75.8237       77.7079
       0.891       77.5059       75.6258       77.5059
       0.892       77.3046       75.4285       77.3046
       0.893        77.104       75.2319        77.104
       0.894       76.9042       75.0361       76.9042
       0.895       76.7051        74.841       76.7051
       0.896       76.5067       74.6466       76.5067
       0.897       76.3091       74.4529       76.3091
       0.898       76.1122       74.2599       76.1122
       0.899        75.916       74.0676        75.916
         0.9       75.7205        73.876       75.7205
       0.901       75.5257       73.6851       75.5257
       0.902       75.3316       73.4948       75.3316
       0.903       75.1382       73.3053       75.1382
       0.904       74.9455       73.1164       74.9455
       0.905       74.7535       72.9283       74.7535
       0.906       74.5622       72.7408       74.5622
       0.907       74.3716       72.5539       74.3716
       0.908       74.1816       72.3678       74.1816
       0.909       73.9923       72.1823       73.9923
        0.91       73.8037       71.9975       73.8037
       0.911       73.6157       71.8133       73.6157
       0.912       73.4284       71.6298       73.4284
       0.913       73.2417        71.447       73.2417
       0.914       73.0557       71.2648       73.0557
       0.915       72.8704       71.0832       72.8704
       0.916       72.6857       70.9023       72.6857
       0.917       72.5017       70.7221       72.5017
       0.918       72.3183       70.5424       72.3183
       0.919       72.1355       70.3635       72.1355
        0.92       71.9534       70.1851       71.9534
       0.921       71.7719       70.0074       71.7719
       0.922        71.591       69.8303        71.591
       0.923       71.4108       69.6539       71.4108
       0.924       71.2312        69.478       71.2312
       0.925       71.0523       69.3028       71.0523
       0.926        70.874       69.1282        70.874
       0.927       70.6963       68.9542       70.6963
       0.928       70.5192       68.7808       70.5192
       0.929       70.3428       68.6081       70.3428
        0.93        70.167       68.4359        70.167
       0.931       69.9918       68.2644       69.9918
       0.932       69.8172       68.0934       69.8172
       0.933       69.6432       67.9231       69.6432
       0.934       69.4699       67.7533       69.4699
       0.935       69.2971       67.5841       69.2971
       0.936        69.125       67.4155        69.125
       0.937       68.9535       67.2476       68.9535
       0.938       68.7825       67.0802       68.7825
       0.939       68.6122       66.9133       68.6122
        0.94       68.4425       66.7471       68.4425
       0.941       68.2733       66.5814       68.2733
       0.942       68.1047       66.4163       68.1047
       0.943       67.9368       66.2518       67.9368
       0.944       67.7694       66.0879       67.7694
       0.945       67.6025       65.9245       67.6025
       0.946       67.4363       65.7616       67.4363
       0.947       67.2706       65.5994       67.2706
       0.948       67.1054       65.4377       67.1054
       0.949       66.9409       65.2765       66.9409
        0.95       66.7769        65.116       66.7769
       0.951       66.6134       64.9559       66.6134
       0.952       66.4505       64.7964       66.4505
       0.953       66.2882       64.6375       66.2882
       0.954       66.1264       64.4791       66.1264
       0.955       65.9651       64.3212       65.9651
       0.956       65.8044       64.1639       65.8044
       0.957       65.6442       64.0071       65.6442
       0.958       65.4846       63.8509       65.4846
       0.959       65.3255       63.6952       65.3255
        0.96       65.1669         63.54       65.1669
       0.961       65.0089       63.3854       65.0089
       0.962       64.8514       63.2312       64.8514
       0.963       64.6944       63.0776       64.6944
       0.964        64.538       62.9246        64.538
       0.965        64.382        62.772        64.382
       0.966       64.2267       62.6199       64.2267
       0.967       64.0718       62.4684       64.0718
       0.968       63.9175       62.3174       63.9175
       0.969       63.7636       62.1669       63.7636
        0.97       63.6103       62.0169       63.6103
       0.971       63.4576       61.8674       63.4576
       0.972       63.3053       61.7184       63.3053
       0.973       63.1536       61.5699       63.1536
       0.974       63.0023       61.4219       63.0023
       0.975       62.8516       61.2744       62.8516
       0.976       62.7014       61.1274       62.7014
       0.977       62.5517       60.9809       62.5517
       0.978       62.4025       60.8349       62.4025
       0.979       62.2538       60.6893       62.2538
        0.98       62.1056       60.5443       62.1056
       0.981       61.9579       60.3997       61.9579
       0.982       61.8107       60.2557       61.8107
       0.983        61.664       60.1121        61.664
       0.984       61.5177       59.9689       61.5177
       0.985        61.372       59.8263        61.372
       0.986       61.2267       59.6841       61.2267
       0.987       61.0819       59.5424       61.0819
       0.988       60.9376       59.4012       60.9376
       0.989       60.7938       59.2604       60.7938
        0.99       60.6504       59.1201       60.6504
       0.991       60.5075       58.9803       60.5075
       0.992        60.365       58.8409        60.365
       0.993       60.2231        58.702       60.2231
       0.994       60.0815       58.5635       60.0815
       0.995       59.9405       58.4255       59.9405
       0.996       59.7999        58.288       59.7999
       0.997       59.6597       58.1509       59.6597
       0.998         59.52       58.0143         59.52
       0.999       59.3808       57.8781       59.3808
           1        59.242       57.7423        59.242
