# P(k)  H0=0.71 Om0=0.267804 Ob0=0.0444356 Ol0=0.73 Sigma8=1 n_s=1
# k  P_E+H_wOsc(k)  P_E+H_noOsc(k)  P_this_simul(k) 
       0.158       2983.72       3046.79       2983.72
       0.159       2955.26       3011.07       2955.26
        0.16          2928       2975.94          2928
       0.161       2901.69       2941.39       2901.69
       0.162       2876.13        2907.4       2876.13
       0.163       2851.11       2873.96       2851.11
       0.164       2826.41       2841.06       2826.41
       0.165       2801.85       2808.69       2801.85
       0.166       2777.27       2776.83       2777.27
       0.167       2752.52       2745.49       2752.52
       0.168       2727.47       2714.64       2727.47
       0.169       2702.02       2684.27       2702.02
        0.17       2676.11       2654.39       2676.11
       0.171       2649.69       2624.97       2649.69
       0.172       2622.73       2596.01       2622.73
       0.173       2595.24        2567.5       2595.24
       0.174       2567.25       2539.42       2567.25
       0.175        2538.8       2511.78        2538.8
       0.176       2509.96       2484.56       2509.96
       0.177       2480.82       2457.76       2480.82
       0.178       2451.46       2431.36       2451.46
       0.179       2421.99       2405.36       2421.99
        0.18       2392.52       2379.75       2392.52
       0.181       2363.17       2354.52       2363.17
       0.182       2334.04       2329.67       2334.04
       0.183       2305.24       2305.19       2305.24
       0.184       2276.87       2281.07       2276.87
       0.185       2249.04       2257.31       2249.04
       0.186       2221.82       2233.89       2221.82
       0.187       2195.29       2210.81       2195.29
       0.188       2169.51       2188.07       2169.51
       0.189       2144.52       2165.66       2144.52
        0.19       2120.36       2143.57       2120.36
       0.191       2097.05       2121.79       2097.05
       0.192       2074.59       2100.33       2074.59
       0.193       2052.97       2079.18       2052.97
       0.194       2032.18       2058.32       2032.18
       0.195       2012.18       2037.75       2012.18
       0.196       1992.93       2017.48       1992.93
       0.197       1974.38       1997.49       1974.38
       0.198       1956.47       1977.78       1956.47
       0.199       1939.14       1958.34       1939.14
         0.2       1922.32       1939.17       1922.32
       0.201       1905.94       1920.26       1905.94
       0.202       1889.94       1901.62       1889.94
       0.203       1874.24       1883.22       1874.24
       0.204       1858.78       1865.08       1858.78
       0.205       1843.49       1847.18       1843.49
       0.206       1828.32       1829.53       1828.32
       0.207       1813.21       1812.11       1813.21
       0.208       1798.13       1794.93       1798.13
       0.209       1783.02       1777.97       1783.02
        0.21       1767.86       1761.24       1767.86
       0.211       1752.63       1744.74       1752.63
       0.212       1737.32       1728.44       1737.32
       0.213       1721.91       1712.37       1721.91
       0.214       1706.41        1696.5       1706.41
       0.215       1690.83       1680.84       1690.83
       0.216       1675.18       1665.39       1675.18
       0.217       1659.48       1650.13       1659.48
       0.218       1643.75       1635.07       1643.75
       0.219       1628.03        1620.2       1628.03
        0.22       1612.34       1605.53       1612.34
       0.221       1596.73       1591.04       1596.73
       0.222       1581.21       1576.74       1581.21
       0.223       1565.82       1562.61       1565.82
       0.224       1550.61       1548.67       1550.61
       0.225       1535.59        1534.9       1535.59
       0.226       1520.79        1521.3       1520.79
       0.227       1506.25       1507.87       1506.25
       0.228       1491.98       1494.61       1491.98
       0.229          1478       1481.51          1478
        0.23       1464.32       1468.57       1464.32
       0.231       1450.95       1455.79       1450.95
       0.232       1437.91       1443.17       1437.91
       0.233       1425.18       1430.71       1425.18
       0.234       1412.77       1418.39       1412.77
       0.235       1400.67       1406.23       1400.67
       0.236       1388.87       1394.21       1388.87
       0.237       1377.35       1382.33       1377.35
       0.238        1366.1        1370.6        1366.1
       0.239        1355.1       1359.01        1355.1
        0.24       1344.33       1347.55       1344.33
       0.241       1333.77       1336.23       1333.77
       0.242       1323.39       1325.05       1323.39
       0.243       1313.18          1314       1313.18
       0.244       1303.12       1303.08       1303.12
       0.245       1293.17       1292.28       1293.17
       0.246       1283.33       1281.61       1283.33
